Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,député,20,Le Quotidien - Groupe Capitales Médias,Manifestation contre les mesures «exagérées» du gouvernement à Alma,2020-07-17,351,https://www.lequotidien.com/actualites/manifestation-contre-les-mesures-exagerees-du-gouvernement-a-alma-f55f6d813654590b3c583985cd36f2b3,2021-07-03 09:18:11
Alma ,député,21,Journal Le Lac St-Jean,Le premier ministre Legault de passage à Alma jeudi,,,https://lelacstjean.com/actualite/le-premier-ministre-legault-de-passage-a-alma-jeudi/,2021-07-03 09:18:11
Alma ,député,22,Journal Le Lac St-Jean,« Un recul de 40 ans »,2021-04-29,65,https://lelacstjean.com/actualite/un-recul-de-40-ans/,2021-07-03 09:18:11
Alma ,député,23,Le Quotidien - Groupe Capitales Médias,La magie opère au rallye le Tour de machine à Alma,2021-04-18,76,https://www.lequotidien.com/actualites/la-magie-opere-au-rallye-le-tour-de-machine-a-alma-2d84513597394f704c931f7ef1067889,2021-07-03 09:18:12
Alma ,député,24,Le Quotidien - Groupe Capitales Médias,Les partis d'opposition se rallient au député Alexis Brunelle-Duceppe,2021-02-18,135,https://www.lequotidien.com/actualites/les-partis-dopposition-se-rallient-au-depute-alexis-brunelle-duceppe-ca351072f2d48ea3ddedb9134784059d,2021-07-03 09:18:12
Alma ,député,25,Le Quotidien - Groupe Capitales Médias,Alma au palmarès des villes les plus heureuses,2021-04-26,68,https://www.lequotidien.com/actualites/alma-au-palmares-des-villes-les-plus-heureuses-a26a30601d45436ccd0d1f519f0a66a8,2021-07-03 09:18:12
Alma ,arme à feu,1,Linternaute.com,"Shinji Mito : "" Alma traite de l'acceptation de l'autre"".",2021-06-26,7,https://www.linternaute.com/livre/mangas/2549202-shinji-mito-alma-traite-de-l-acceptation-de-l-autre/,2021-07-03 09:18:21
Alma ,arme à feu,2,Le Quotidien - Groupe Capitales Médias,Début d'incendie maîtrisé à Alma | Actualités,2021-03-24,101,https://www.lequotidien.com/actualites/debut-dincendie-maitrise-a-alma-c89260fbb6cd4e484160a94b82f07f4d,2021-07-03 09:18:22
Alma ,arme à feu,3,Le Journal de Québec,Saguenay: lourdes accusations contre un homme arrêté au Walmart,2021-05-21,43,https://www.journaldequebec.com/2021/05/21/saguenay-lourdes-accusations-contre-un-homme-arrete-au-walmart-1,2021-07-03 09:18:22
Alma ,arme à feu,4,Le Quotidien - Groupe Capitales Médias,Les quatre individus armés arrêtés à Jonquière restent détenus,2021-04-16,78,https://www.lequotidien.com/actualites/justice-et-faits-divers/les-quatre-individus-armes-arretes-a-jonquiere-restent-detenus-37ae628ce20bf8979dd243e9d1174aef,2021-07-03 09:18:22
Alma ,arme à feu,5,ICI.Radio-Canada.ca,Un orage prive d'électricité des milliers de clients au Saguenay-Lac-Saint-Jean,2021-03-12,113,https://ici.radio-canada.ca/nouvelle/1776726/meteo-pluie-chaleur-panne-hydro-quebec,2021-07-03 09:18:22
Alma ,arme à feu,6,Le Quotidien - Groupe Capitales Médias,28 armes de poing volées à Alma | Justice et faits divers | Actualités,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/28-armes-de-poing-volees-a-alma-8b8518cd065310d8d70b5f5679568186,2021-07-03 09:18:23
Alma ,arme à feu,7,Le Nouvelliste,Michel HECTOR/Jean-Jacques DOUBOUT : trajet mouvementé d’un intellectuel organique,2021-07-02,1,https://lenouvelliste.com/article/229586/michel-hectorjean-jacques-doubout-trajet-mouvemente-dun-intellectuel-organique,2021-07-03 09:18:23
