"Villes","type mot-clés","hors Québec","local/regional","national","non media","Gini"
"Notre-Dame-du-Mont-Carmel","mixte",31,979,107,27,"0,640734265510233"
"Notre-Dame-du-Mont-Carmel","national",124,1057,78,13,"0,624606918042576"
"Ormstown","local",0,1037,675,70,"0,521324354540668"
"Ormstown","mixte",0,601,249,28,"0,576309794726055"
"Ormstown","national",6,236,427,13,"0,544721407305149"
"Plessisville","local",1,2046,122,142,"0,665837299754939"
"Plessisville","mixte",3,1025,79,31,"0,684094903098736"
"Plessisville","national",2,816,233,13,"0,625469924576891"
"Québec","local",15,997,1517,71,"0,522307692227337"
"Québec","mixte",9,317,828,35,"0,575904120916433"
"Québec","national",18,225,1121,36,"0,624642856964388"
"Rawdon","local",29,1218,835,80,"0,499768732562485"
"Rawdon","mixte",1,583,364,31,"0,53089887618758"
"Rawdon","national",18,266,634,13,"0,566863587296729"
"Repentigny","local",12,1118,1199,126,"0,46364562110572"
"Repentigny","mixte",9,637,514,33,"0,495599329255457"
"Repentigny","national",18,292,879,29,"0,58415435120389"
"Rimouski","local",4,1688,552,335,"0,510759984410894"
"Rimouski","mixte",1,911,185,103,"0,585833333138056"
"Rimouski","national",12,912,379,66,"0,550219137896211"
"Rivière-du-Loup","local",16,2108,349,77,"0,641960784213026"
"Rivière-du-Loup","mixte",6,949,211,9,"0,644893616801738"
"Rivière-du-Loup","national",32,976,322,18,"0,586795252051396"
"Rouyn-Noranda","local",18,1549,480,463,"0,459163346540372"
"Rouyn-Noranda","mixte",4,837,189,156,"0,53372681263618"
"Rouyn-Noranda","national",21,740,411,111,"0,478760716920106"
"Saguenay","local",4,1592,811,172,"0,523749515234781"
"Saguenay","mixte",2,735,432,31,"0,541666666486111"
"Saguenay","national",10,590,720,20,"0,503731343133215"
"Saint-André-Avellin","local",12,1567,254,234,"0,56664247691018"
"Saint-André-Avellin","mixte",1,879,69,85,"0,640715667063553"
"Saint-André-Avellin","national",21,815,88,13,"0,659818569622276"
"Saint-Apollinaire","local",613,1116,508,75,"0,349048442846185"
"Saint-Apollinaire","mixte",126,744,156,76,"0,461433756638318"
"Saint-Apollinaire","national",455,411,217,41,"0,319395017679931"
"Saint-Eustache","local",92,1491,704,184,"0,477235936790411"
"Saint-Eustache","mixte",23,752,321,76,"0,518771330880966"
"Saint-Eustache","national",117,456,626,29,"0,433631921682856"
"Saint-Félicien","local",52,1972,302,218,"0,574292452739891"
"Saint-Félicien","mixte",22,960,159,25,"0,632075471481278"
"Saint-Félicien","national",31,986,208,2,"0,637530562139354"
"Saint-Georges","local",551,1625,260,151,"0,455450328495485"
"Saint-Georges","mixte",112,878,162,30,"0,548646361912472"
"Saint-Georges","national",310,472,493,12,"0,311771561674663"
"Saint-Henri","local",316,1216,803,206,"0,346025186879807"
"Saint-Henri","mixte",137,488,492,62,"0,347964376472277"
"Saint-Henri","national",232,447,585,25,"0,367532971181526"
"Saint-Honoré","local",382,1702,235,231,"0,447058823459285"
"Saint-Honoré","mixte",152,775,158,88,"0,440537084248751"
"Saint-Honoré","national",305,561,311,41,"0,321428571323012"
"Saint-Hyacinthe","local",75,667,1149,630,"0,323185243899534"
"Saint-Hyacinthe","mixte",6,325,512,357,"0,322916666559028"
"Saint-Hyacinthe","national",19,293,900,58,"0,56653543289243"
"Saint-Jean-sur-Richelieu","local",8,1479,554,541,"0,428543764457236"
"Saint-Jean-sur-Richelieu","mixte",2,618,344,236,"0,407499999864167"
"Saint-Jean-sur-Richelieu","national",11,622,592,117,"0,429955290482875"
"Saint-Jérôme","local",213,1227,877,235,"0,360893416871333"
"Saint-Jérôme","mixte",41,550,528,81,"0,411249999862917"
"Saint-Jérôme","national",92,527,669,25,"0,450685453023401"
"Saint-Lin-Laurentides","local",1,1694,583,91,"0,587906289474393"
"Saint-Lin-Laurentides","mixte",0,893,201,40,"0,626102292548112"
"Saint-Lin-Laurentides","national",29,449,488,10,"0,474897540788976"
"Saint-Pierre-de-l'Île-d'Orléans","local",6,356,844,28,"0,575769853946266"
"Saint-Pierre-de-l'Île-d'Orléans","mixte",6,260,348,22,"0,496855345599462"
"Saint-Pierre-de-l'Île-d'Orléans","national",20,106,164,12,"0,44867549609447"
"Saint-Raymond","local",182,1089,673,232,"0,36328124993322"
"Saint-Raymond","mixte",71,599,409,99,"0,401952461663174"
"Saint-Raymond","national",116,624,439,10,"0,455214465784621"
"Saint-Rémi","local",711,974,305,212,"0,305631244267824"
"Saint-Rémi","mixte",317,585,201,50,"0,373156981657188"
"Saint-Rémi","national",340,394,402,26,"0,254302925902133"
"Saint-Tite","local",66,1471,467,151,"0,525638050946517"
"Saint-Tite","mixte",43,798,282,63,"0,523608768794736"
"Saint-Tite","national",42,899,196,8,"0,61724890808131"
"Sainte-Adèle","local",86,1267,777,51,"0,497363594590121"
"Sainte-Adèle","mixte",12,645,457,27,"0,51029798404547"
"Sainte-Adèle","national",36,368,672,1,"0,544336118646486"
"Sainte-Agathe-des-Monts","local",47,813,1093,67,"0,480693069211744"
"Sainte-Agathe-des-Monts","mixte",64,424,574,36,"0,449453551748833"
"Sainte-Agathe-des-Monts","national",164,247,677,21,"0,462353471429268"
"Sainte-Anne-des-Monts","local",62,1669,434,70,"0,579977628531548"
"Sainte-Anne-des-Monts","mixte",10,944,172,5,"0,658488063427591"
"Sainte-Anne-des-Monts","national",28,916,339,5,"0,59083850913328"
"Sainte-Julie","local",89,1383,524,215,"0,473880596929194"
"Sainte-Julie","mixte",35,750,297,81,"0,507523645569209"
"Sainte-Julie","national",93,498,566,35,"0,419043624020455"
"Sainte-Marie","local",627,1279,457,199,"0,332747853187705"
"Sainte-Marie","mixte",155,654,308,68,"0,403164556825936"
"Sainte-Marie","national",281,479,545,42,"0,316815144672067"
"Salaberry-de-Valleyfield","local",2,1469,761,197,"0,511012762369533"
"Salaberry-de-Valleyfield","mixte",0,798,342,5,"0,596288209398677"
"Salaberry-de-Valleyfield","national",3,445,722,11,"0,548475867722786"
"Sept-Îles","local",114,1450,758,186,"0,456539074887314"
"Sept-Îles","mixte",38,745,401,16,"0,531249999822917"
"Sept-Îles","national",168,635,559,20,"0,4044862516919"
"Shawinigan","local",5,1891,329,257,"0,577155519649129"
"Shawinigan","mixte",5,888,204,84,"0,586155799970819"
"Shawinigan","national",6,1010,279,46,"0,604958985651019"
"Sherbrooke","local",1,1925,532,76,"0,61444356738525"
"Sherbrooke","mixte",4,838,322,36,"0,580833333139722"
"Sherbrooke","national",6,708,647,17,"0,496371552831242"
"Sorel-Tracy","local",2,1762,558,182,"0,564696485532796"
"Sorel-Tracy","mixte",2,915,206,52,"0,615531914684074"
"Sorel-Tracy","national",9,631,543,30,"0,490313272715478"
"Stoneham","local",42,1184,928,54,"0,486865941940785"
"Stoneham","mixte",9,640,412,26,"0,524149033845759"
"Stoneham","national",4,665,443,24,"0,528609154743447"
"Terrebonne","local",1,1011,1307,163,"0,480056406046727"
"Terrebonne","mixte",1,487,571,46,"0,486651583534244"
"Terrebonne","national",4,344,810,26,"0,577702702507533"
"Thetford Mines","local",4,1934,349,150,"0,614382437322219"
"Thetford Mines","mixte",1,930,187,52,"0,624358974145518"
"Thetford Mines","national",8,700,497,13,"0,525451559761757"
"Trois-Pistoles","local",3,1898,388,135,"0,612417491648116"
"Trois-Pistoles","mixte",1,934,194,4,"0,659532215124614"
"Trois-Pistoles","national",35,731,323,20,"0,545761947503783"
"Trois-Rivières","local",111,1758,528,184,"0,511913986747475"
"Trois-Rivières","mixte",11,799,358,26,"0,564489112038697"
"Trois-Rivières","national",67,817,496,20,"0,503571428427551"
"Témiscouata-sur-le-Lac","local",3,1978,299,87,"0,648183354347582"
"Témiscouata-sur-le-Lac","mixte",4,967,165,15,"0,660078192646367"
"Témiscouata-sur-le-Lac","national",15,848,304,15,"0,589678510798755"
"Val-d'Or","local",14,1308,619,553,"0,395749799455373"
"Val-d'Or","mixte",9,824,187,180,"0,510833333163056"
"Val-d'Or","national",16,655,617,76,"0,450513196348823"
"Val-des-Monts","local",251,1600,495,139,"0,465492957671551"
"Val-des-Monts","mixte",47,854,189,57,"0,556451612709171"
"Val-des-Monts","national",135,810,231,23,"0,512301918094311"
"Val-des-Sources","local",305,1710,355,186,"0,452073552354918"
"Val-des-Sources","mixte",120,805,207,38,"0,510256410081964"
"Val-des-Sources","national",237,794,284,21,"0,442739520825527"
"Vaudreuil-Dorion","local",1,1164,1177,129,"0,461655200249024"
"Vaudreuil-Dorion","mixte",1,695,469,26,"0,530016792433244"
"Vaudreuil-Dorion","national",2,308,786,16,"0,594424460217833"
"Victoriaville","local",12,1986,248,199,"0,610531697241631"
"Victoriaville","mixte",2,996,121,61,"0,644491525205257"
"Victoriaville","national",11,705,339,32,"0,549448021876928"
"Ville-Marie","local",244,1072,982,289,"0,307015848425664"
"Ville-Marie","mixte",58,481,530,95,"0,387027491275936"
"Ville-Marie","national",154,415,700,56,"0,413773584780748"
"Windsor","local",382,1467,293,190,"0,420240137149187"
"Windsor","mixte",538,346,195,68,"0,340235396568357"
"Windsor","national",490,172,556,43,"0,368160190208355"
