Villes,Alma,Amos,Amqui,Baie-Comeau,Beauce,Beloeil,Boucherville,Candiac,Caraquet,Chambly,Chandler,Chibougamau,Châteauguay,Chénéville,Coaticook,Coteau-du-Lac,Cowansville,Dolbeau-Mistassini,Drummondville,Gaspé,Gatineau,Granby,Joliette,Jonquière,Kirkland,La Tuque,Lac-Beauport,Lac-Etchemin,Lanaudière,Laval,Limoilou,Longueuil,Lévis,Magog,Matane,Montréal,New Richmond,Pays-d’en-Haut,Plessisville,Québec,Repentigny,Rimouski,Rivière-du-loup,Rivière-du-loup; Carleton-sur-Mer,Roberval,Rouyn-Noranda,Saguenay,Saint-Bruno-de-Montarville,Saint-Eustache,Saint-Georges,Saint-Hyacinthe,Saint-Jacques-le-Mineur,Saint-Jean-sur-Richelieu,Saint-Jérôme,Saint-Lambert,Saint-Lin-Laurentides,Saint-Pascal,Saint-Sauveur,Sainte-Julienne,Sainte-Marie de Beauce,Sainte-Thérèse,Salaberry-de-Valleyfield,Sept-Îles,Shawinigan,Sherbrooke,Sorel-Tracy,Suroît,Thetford Mines,Toronto,Trois-Pistoles,Trois-Rivières,Val-d’Or,Victoriaville,en ligne,hors Québec
Dolbeau-Mistassini,80.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,786.0,0.0,0.0,17.0,4.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1319.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,54.0,0.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,273.0,1.0
Drummondville,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544.0,0.0,13.0,24.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,9.0,2.0,1.0,1504.0,0.0,0.0,0.0,130.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,116.0,12.0,0.0,3.0,0.0,0.0,160.0,0.0,118.0,147.0,63.0
Fermont,0.0,0.0,0.0,298.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,2.0,5.0,0.0,42.0,14.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,2325.0,0.0,0.0,0.0,615.0,0.0,6.0,4.0,2.0,0.0,0.0,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,17.0,140.0,73.0
Forestville,0.0,0.0,4.0,687.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1751.0,0.0,0.0,0.0,427.0,0.0,69.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,275.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,207.0,24.0
Gaspé,0.0,0.0,22.0,11.0,5.0,0.0,3.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,431.0,31.0,17.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,18.0,0.0,240.0,2446.0,0.0,1.0,0.0,1133.0,0.0,83.0,13.0,355.0,0.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,6.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,37.0,0.0,0.0,0.0,1.0,9.0,14.0,0.0,1.0,52.0,12.0
Gatineau,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2464.0,8.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2189.0,0.0,1.0,6.0,98.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,69.0,52.0
Granby,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,67.0,0.0,7.0,0.0,28.0,3431.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1016.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,7.0,0.0,0.0,0.0,1.0,19.0,0.0,8.0,122.0,0.0
Havre-Saint-Pierre,0.0,0.0,0.0,203.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,9.0,1636.0,0.0,0.0,0.0,615.0,1.0,14.0,2.0,4.0,0.0,0.0,66.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,0.0,10.0,0.0,0.0,8.0,0.0,4.0,1.0,480.0,0.0,10.0,8.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,148.0,1010.0
Joliette,0.0,0.0,0.0,0.0,74.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,15.0,1874.0,0.0,0.0,0.0,11.0,0.0,285.0,9.0,0.0,3.0,0.0,0.0,1.0,1605.0,0.0,5.0,0.0,109.0,53.0,0.0,83.0,1.0,1.0,2.0,4.0,0.0,5.0,536.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,24.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,7.0,149.0,55.0
Kuujjuaq,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,49.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,24.0,5.0,2.0,0.0,0.0,12.0,3084.0,0.0,3.0,0.0,165.0,0.0,0.0,2.0,0.0,2.0,0.0,30.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,21.0,7.0,19.0
