Villes,type mot-clés,local/regional,autres
Saint-Pierre-de-l'Île-d'Orléans,mixte,260,376
Saint-Pierre-de-l'Île-d'Orléans,national,106,196
Saint-Raymond,local,1089,1087
Saint-Raymond,mixte,599,579
Saint-Raymond,national,624,565
Saint-Rémi,local,974,1228
Saint-Rémi,mixte,585,568
Saint-Rémi,national,394,768
Saint-Tite,local,1471,684
Saint-Tite,mixte,798,388
Saint-Tite,national,899,246
Sainte-Adèle,local,1267,914
Sainte-Adèle,mixte,645,496
Sainte-Adèle,national,368,709
Sainte-Agathe-des-Monts,local,813,1207
Sainte-Agathe-des-Monts,mixte,424,674
Sainte-Agathe-des-Monts,national,247,862
Sainte-Anne-des-Monts,local,1669,566
Sainte-Anne-des-Monts,mixte,944,187
Sainte-Anne-des-Monts,national,916,372
Sainte-Julie,local,1383,828
Sainte-Julie,mixte,750,413
Sainte-Julie,national,498,694
Sainte-Marie,local,1279,1283
Sainte-Marie,mixte,654,531
Sainte-Marie,national,479,868
Salaberry-de-Valleyfield,local,1469,960
Salaberry-de-Valleyfield,mixte,798,347
Salaberry-de-Valleyfield,national,445,736
Sept-Îles,local,1450,1058
Sept-Îles,mixte,745,455
Sept-Îles,national,635,747
Shawinigan,local,1891,591
Shawinigan,mixte,888,293
Shawinigan,national,1010,331
Sherbrooke,local,1925,609
Sherbrooke,mixte,838,362
Sherbrooke,national,708,670
Sorel-Tracy,local,1762,742
Sorel-Tracy,mixte,915,260
Sorel-Tracy,national,631,582
Stoneham,local,1184,1024
Stoneham,mixte,640,447
Stoneham,national,665,471
Terrebonne,local,1011,1471
Terrebonne,mixte,487,618
Terrebonne,national,344,840
Thetford Mines,local,1934,503
Thetford Mines,mixte,930,240
Thetford Mines,national,700,518
Trois-Pistoles,local,1898,526
Trois-Pistoles,mixte,934,199
Trois-Pistoles,national,731,378
Trois-Rivières,local,1758,823
Trois-Rivières,mixte,799,395
Trois-Rivières,national,817,583
Témiscouata-sur-le-Lac,local,1978,389
Témiscouata-sur-le-Lac,mixte,967,184
Témiscouata-sur-le-Lac,national,848,334
Val-d'Or,local,1308,1186
Val-d'Or,mixte,824,376
Val-d'Or,national,655,709
Val-des-Monts,local,1600,885
Val-des-Monts,mixte,854,293
Val-des-Monts,national,810,389
Val-des-Sources,local,1710,846
Val-des-Sources,mixte,805,365
Val-des-Sources,national,794,542
Vaudreuil-Dorion,local,1164,1307
Vaudreuil-Dorion,mixte,695,496
Vaudreuil-Dorion,national,308,804
Victoriaville,local,1986,459
Victoriaville,mixte,996,184
Victoriaville,national,705,382
Ville-Marie,local,1072,1515
Ville-Marie,mixte,481,683
Ville-Marie,national,415,910
Windsor,local,1467,865
Windsor,mixte,346,801
Windsor,national,172,1089
