Villes,type mot-clés,hors Québec,local/regional,national,non media,Villes
Les Îles-de-la-Madeleine,national,66.0,516.0,734.0,45.0,Les Îles-de-la-Madeleine-national
Longueuil,local,6.0,1107.0,1138.0,262.0,Longueuil-local
Longueuil,mixte,1.0,504.0,633.0,62.0,Longueuil-mixte
Longueuil,national,8.0,378.0,973.0,41.0,Longueuil-national
Louiseville,local,14.0,1868.0,277.0,156.0,Louiseville-local
Louiseville,mixte,6.0,980.0,144.0,36.0,Louiseville-mixte
Louiseville,national,18.0,919.0,255.0,4.0,Louiseville-national
Lévis,local,36.0,1271.0,1090.0,151.0,Lévis-local
Lévis,mixte,4.0,746.0,440.0,10.0,Lévis-mixte
Lévis,national,27.0,616.0,715.0,11.0,Lévis-national
Magog,local,2.0,2137.0,241.0,138.0,Magog-local
Magog,mixte,2.0,1016.0,112.0,47.0,Magog-mixte
Magog,national,9.0,1006.0,267.0,12.0,Magog-national
Maniwaki,local,12.0,1426.0,537.0,254.0,Maniwaki-local
Maniwaki,mixte,12.0,801.0,210.0,84.0,Maniwaki-mixte
Maniwaki,national,23.0,824.0,253.0,11.0,Maniwaki-national
Mansfield,local,439.0,474.0,547.0,154.0,Mansfield-local
Mansfield,mixte,185.0,269.0,287.0,84.0,Mansfield-mixte
Mansfield,national,377.0,114.0,196.0,91.0,Mansfield-national
Marieville,local,7.0,1723.0,284.0,198.0,Marieville-local
Marieville,mixte,3.0,771.0,177.0,52.0,Marieville-mixte
Marieville,national,17.0,590.0,263.0,33.0,Marieville-national
Matane,local,5.0,1913.0,360.0,266.0,Matane-local
Matane,mixte,8.0,922.0,144.0,89.0,Matane-mixte
Matane,national,10.0,884.0,296.0,30.0,Matane-national
Mirabel,local,110.0,1420.0,857.0,90.0,Mirabel-local
Mirabel,mixte,27.0,638.0,449.0,63.0,Mirabel-mixte
Mirabel,national,92.0,376.0,658.0,37.0,Mirabel-national
Mont-Joli,local,102.0,1775.0,399.0,229.0,Mont-Joli-local
Mont-Joli,mixte,14.0,952.0,133.0,25.0,Mont-Joli-mixte
Mont-Joli,national,106.0,684.0,327.0,14.0,Mont-Joli-national
Mont-Laurier,local,17.0,934.0,1115.0,257.0,Mont-Laurier-local
Mont-Laurier,mixte,6.0,399.0,599.0,122.0,Mont-Laurier-mixte
Mont-Laurier,national,7.0,484.0,619.0,8.0,Mont-Laurier-national
Montmagny,local,117.0,1477.0,616.0,189.0,Montmagny-local
Montmagny,mixte,18.0,859.0,256.0,24.0,Montmagny-mixte
Montmagny,national,20.0,682.0,399.0,4.0,Montmagny-national
Montréal,local,11.0,428.0,2066.0,79.0,Montréal-local
Montréal,mixte,3.0,132.0,1045.0,20.0,Montréal-mixte
Montréal,national,12.0,86.0,1265.0,25.0,Montréal-national
Montréal_V2,local,403.0,1066.0,1023.0,108.0,Montréal_V2-local
Montréal_V2,mixte,127.0,350.0,665.0,58.0,Montréal_V2-mixte
Montréal_V2,national,359.0,139.0,793.0,109.0,Montréal_V2-national
New Richmond,local,47.0,1640.0,307.0,147.0,New Richmond-local
New Richmond,mixte,46.0,860.0,138.0,12.0,New Richmond-mixte
New Richmond,national,116.0,418.0,341.0,6.0,New Richmond-national
Nicolet,local,50.0,1906.0,308.0,152.0,Nicolet-local
Nicolet,mixte,7.0,927.0,159.0,50.0,Nicolet-mixte
Nicolet,national,31.0,1065.0,198.0,12.0,Nicolet-national
Notre-Dame-du-Mont-Carmel,local,83.0,2035.0,129.0,112.0,Notre-Dame-du-Mont-Carmel-local
Notre-Dame-du-Mont-Carmel,mixte,31.0,979.0,107.0,27.0,Notre-Dame-du-Mont-Carmel-mixte
Notre-Dame-du-Mont-Carmel,national,124.0,1057.0,78.0,13.0,Notre-Dame-du-Mont-Carmel-national
Ormstown,local,0.0,1037.0,675.0,70.0,Ormstown-local
Ormstown,mixte,0.0,601.0,249.0,28.0,Ormstown-mixte
Ormstown,national,6.0,236.0,427.0,13.0,Ormstown-national
Plessisville,local,1.0,2046.0,122.0,142.0,Plessisville-local
Plessisville,mixte,3.0,1025.0,79.0,31.0,Plessisville-mixte
Plessisville,national,2.0,816.0,233.0,13.0,Plessisville-national
Québec,local,15.0,997.0,1517.0,71.0,Québec-local
Québec,mixte,9.0,317.0,828.0,35.0,Québec-mixte
Québec,national,18.0,225.0,1121.0,36.0,Québec-national
Rawdon,local,29.0,1218.0,835.0,80.0,Rawdon-local
Rawdon,mixte,1.0,583.0,364.0,31.0,Rawdon-mixte
Rawdon,national,18.0,266.0,634.0,13.0,Rawdon-national
Repentigny,local,12.0,1118.0,1199.0,126.0,Repentigny-local
Repentigny,mixte,9.0,637.0,514.0,33.0,Repentigny-mixte
