Type_media,hors Québec,hors Québec,hors Québec,local/regional,local/regional,local/regional,national,national,national,non media,non media,non media
type mot-clés,local,mixte,national,local,mixte,national,local,mixte,national,local,mixte,national
domaine,,,,,,,,,,,,
blog.lefigaro.fr,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blogs.futura-sciences.com,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blogs.mediapart.fr,8.142857142857142,9.909090909090908,31.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonjourresidences.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
bordeaux.aujourdhui.fr,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bretagne-tele.fr,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bx1.be,1.3333333333333333,26.0,76.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caen.maville.com,121.66666666666667,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camping-car.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
canadafrancais.com,0.0,0.0,0.0,97.75595238095238,122.68152866242038,127.64137931034483,0.0,0.0,0.0,0.0,0.0,0.0
carabins.umontreal.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catch-newz.com,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdeacf.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.333333333333336,27.5,154.66666666666666
cdurable.info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
centrenationaldulivre.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0
chaleursnouvelles.com,0.0,0.0,0.0,134.8235294117647,136.1818181818182,44.5,0.0,0.0,0.0,0.0,0.0,0.0
chamblymatin.com,0.0,0.0,0.0,110.98547215496367,91.93065693430657,125.51428571428572,0.0,0.0,0.0,0.0,0.0,0.0
charliehebdo.fr,13.333333333333334,1.0,183.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatelaine.com,0.0,0.0,0.0,0.0,0.0,0.0,108.75,38.1,164.5,0.0,0.0,0.0
chicksandmachines.com,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.571428571428573,234.875,0.0,0.0,0.0
chroniques-architecture.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
cimtchau.ca,0.0,0.0,0.0,93.82543061737952,77.10360884749709,77.7709049255441,0.0,0.0,0.0,0.0,0.0,0.0
cineday.orange.fr,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinema.jeuxactu.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cinoche.com,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,105.66666666666667,0.0,0.0,0.0
cisss-outaouais.gouv.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.96808510638297,31.0,0.0
ciusss-estmtl.gouv.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46153846153846,0.0,0.0
ciusssmcq.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.241509433962264,55.8041237113402,0.0
clicanoo.re,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmm.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68421052631579,55.77777777777778,33.55172413793103
commercemonde.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,109.83333333333333,0.0,0.0,0.0
communiques.categorynet.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
conseiller.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0
consonews.ma,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coolfm.biz,0.0,0.0,0.0,60.575371549893845,60.18081180811808,48.325581395348834,0.0,0.0,0.0,0.0,0.0,0.0
corbeaunews-centrafrique.com,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupdoeil.info,0.0,0.0,0.0,128.5246575342466,124.81025641025641,120.49333333333334,0.0,0.0,0.0,0.0,0.0,0.0
courrierdesameriques.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
courrierfrontenac.qc.ca,0.0,0.0,0.0,113.32274011299435,102.27556325823224,123.7132530120482,0.0,0.0,0.0,0.0,0.0,0.0
courrierlaval.com,0.0,0.0,0.0,102.77405857740585,69.53638814016172,82.47852760736197,0.0,0.0,0.0,0.0,0.0,0.0
csf.gouv.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
cursus.edu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
cybersoleil.com,0.0,0.0,0.0,101.96287703016242,90.71811023622047,99.22972972972973,0.0,0.0,0.0,0.0,0.0,0.0
cyclismerevue.be,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daily-rock.ca,0.0,0.0,0.0,0.0,0.0,0.0,36.22222222222222,10.5,0.0,0.0,0.0,0.0
dailygeekshow.com,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
danslescoulisses.com,0.0,0.0,0.0,0.0,0.0,0.0,56.23529411764706,8.695652173913043,20.842105263157894,0.0,0.0,0.0
defimedia.info,83.0,102.6470588235294,13.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delitfrancais.com,0.0,0.0,0.0,16.142857142857142,9.0,11.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0
destimed.fr,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diacritik.com,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dinan.maville.com,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
directinfo.webmanagercenter.com,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
