Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Alma ,Travaux ET Routiers,3,Journal Le Lac St-Jean,Lien routier Alma-La Baie : Un carrefour giratoire à l'intersection 170 et 169,2021-04-06,56,https://lelacstjean.com/actualite/autoroute-70-un-carrefour-giratoire-a-lintersection-170-et-169/
Alma ,Travaux ET Routiers,4,Le Quotidien - Groupe Capitales Médias,Le tracé de l'autoroute 70 à Alma n'est toujours pas déterminé,2021-03-30,63,https://www.lequotidien.com/actualites/le-trace-de-lautoroute-70-a-alma-nest-toujours-pas-determine-e1a28ac40a5b5c6f08c587b40aa69f76
Alma ,Autobus OR Tramway,1,Le Journal de Québec,Forte baisse des disparitions d'enfants au Québec,2021-05-04,28,https://www.journaldequebec.com/2021/05/04/forte-baisse-des-disparitions-denfants
Alma ,Autobus OR Tramway,2,Le Quotidien - Groupe Capitales Médias,Un autobus scolaire passe près d'écraser un enfant à Chicoutimi [VIDÉO],2020-10-23,221,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-autobus-scolaire-passe-pres-decraser-un-enfant-a-chicoutimi-video-2a8ed73d7a4ecf4c2026f4ffbd839cef
Alma ,Autobus OR Tramway,3,Le Quotidien - Groupe Capitales Médias,Intercar reprendra le trajet entre Alma et Québec,2021-02-26,95,https://www.lequotidien.com/affaires/intercar-reprendra-le-trajet-entre-alma-et-quebec-070b1d9815f94a61ea96b2d158954c25
Alma ,Autobus OR Tramway,4,Le Quotidien - Groupe Capitales Médias,Accident impliquant un autobus à Alma | Justice et faits divers | Actualités,2020-09-18,256,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-impliquant-un-autobus-a-alma-e2d47badb77961f6a5f779e46d79b186
Alma ,Météo,1,Le Quotidien - Groupe Capitales Médias,Cocktail météo attendu pour la fin de semaine,2021-03-25,68,https://www.lequotidien.com/actualites/cocktail-meteo-attendu-pour-la-fin-de-semaine-0b6af4f01f201cbfc900938f48e0f5af
Alma ,Météo,2,MétéoMédia,"En été au Québec, il fait chaud!",2020-07-01,335,https://www.meteomedia.com/ca/nouvelles/article/en-ete-au-quebec-il-fait-chaud
Alma ,Météo,3,Le Quotidien - Groupe Capitales Médias,Nombreux records pour le cocktail météo des derniers jours,2021-03-15,78,https://www.lequotidien.com/actualites/nombreux-records-pour-le-cocktail-meteo-des-derniers-jours-e992e8bae67fb8b483b424c8b4139fcb
Alma ,Météo,4,ICI.Radio-Canada.ca,Plus de neige attendue de mercredi à jeudi dans le Bas-Saguenay,2021-04-20,42,https://ici.radio-canada.ca/nouvelle/1786587/meteo-tempete-depression
Alma ,Constrution,1,ICI.Radio-Canada.ca,Une capitainerie 10 fois plus grande à Dam-en-Terre,2021-05-28,4,https://ici.radio-canada.ca/nouvelle/1796914/bateaux-lac-saint-jean
Alma ,Constrution,2,ICI.Radio-Canada.ca,23 000 $ pour sept projets almatois en développement durable,2021-05-11,21,https://ici.radio-canada.ca/nouvelle/1792316/projets-alma-developpement-durable
Alma ,Constrution,3,Le Journal de Québec,Le maire d'Alma ne se représentera pas,2021-05-18,14,https://www.journaldequebec.com/2021/05/18/le-maire-dalma-ne-se-representera-pas-1
Alma ,Constrution,4,Le Quotidien - Groupe Capitales Médias,Rio Tinto rappelle les risques de circuler à vélo près de ses installations,2021-05-14,18,https://www.lequotidien.com/actualites/rio-tinto-rappelle-les-risques-de-circuler-a-velo-pres-de-ses-installations-54765770f406434e907935c50aee6928
Alma ,Élection OR campagne,1,Le Quotidien - Groupe Capitales Médias,Alma: un troisième candidat dans Delisle-Saint-Coeur-de-Marie,2021-06-01,0,https://www.lequotidien.com/actualites/alma-un-troisieme-candidat-dans-delisle-saint-coeur-de-marie-6a960b0c3448c163e198973bfa092e0d
Alma ,Élection OR campagne,2,ICI.Radio-Canada.ca,Marc Asselin quittera la politique municipale en novembre,2021-05-18,14,https://ici.radio-canada.ca/nouvelle/1793999/marc-asselin-depart-politique-alma
Alma ,Élection OR campagne,3,Journal Le Lac St-Jean,Capitation 2021: La campagne est maintenant en cours,2021-05-10,22,https://lelacstjean.com/actualite/capitation-2021-la-campagne-est-maintenant-en-cours/
Alma ,Élection OR campagne,4,Le Journal de Montréal,"La campagne de vaccination, un excellent modèle à suivre",2021-05-19,13,https://www.journaldemontreal.com/2021/05/19/la-campagne-de-vaccination-un-excellent-modele-a-suivre
Alma ,député,1,Courrier international,Élections au Mexique : émotion après l'assassinat par balles d'une candidate,2021-05-26,6,https://www.courrierinternational.com/article/violences-politiques-elections-au-mexique-emotion-apres-lassassinat-par-balles-dune
Alma ,député,2,ICI.Radio-Canada.ca,Levée de boucliers régionale contre l'Association de l'aluminium du Canada,2021-05-07,25,https://ici.radio-canada.ca/nouvelle/1791009/rio-tinto-reactions-emplois
Alma ,député,3,ICI.Radio-Canada.ca,Du mentorat pour convaincre les jeunes de faire le saut en politique,2021-05-21,11,https://ici.radio-canada.ca/nouvelle/1794703/conseil-ville-municipal-elu-campagne-election
Alma ,député,4,Libération,"Appel pour les libertés, contre les idées d’extrême droite",2021-05-04,28,https://www.liberation.fr/idees-et-debats/tribunes/appel-pour-les-libertes-contre-les-idees-dextreme-droite-20210504_XRVRUYXD5RDGPG6YY2TWUV6MQY/
Alma ,Armes à feu,1,Le Journal de Québec,Saguenay: lourdes accusations contre un homme arrêté au Walmart,2021-05-21,11,https://www.journaldequebec.com/2021/05/21/saguenay-lourdes-accusations-contre-un-homme-arrete-au-walmart-1
Alma ,Armes à feu,2,Droit-Inc.com,Feu au palais de justice de Roberval : questions-réponses avec la bâtonnière…,2021-05-10,22,https://www.droit-inc.com/article28664-Feu-au-palais-de-justice-de-Roberval-questions-reponses-avec-la-batonniere
Alma ,Armes à feu,3,Courrier international,Élections au Mexique : émotion après l'assassinat par balles d'une candidate,2021-05-26,6,https://www.courrierinternational.com/article/violences-politiques-elections-au-mexique-emotion-apres-lassassinat-par-balles-dune
Alma ,Armes à feu,4,Le Quotidien - Groupe Capitales Médias,Incendie suspect de véhicule à Alma | Justice et faits divers | Actualités,2021-03-04,89,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-suspect-de-vehicule-a-alma-ae7ae5d9187fd6e6f1ec0164d7bbdcab
Alma ,Santé publique,1,Le Quotidien - Groupe Capitales Médias,Cinq nouveaux cas et près de 200 000 doses administrées au Saguenay-Lac-Saint-Jean,2021-06-01,0,https://www.lequotidien.com/actualites/covid-19/cinq-nouveaux-cas-et-pres-de-200-000-doses-administrees-au-saguenay-lac-saint-jean-2db9e8cbe50c305d89ce3689dd59c097
Alma ,Santé publique,2,ICI.Radio-Canada.ca,35 patients ont contracté la COVID-19 à l'hôpital de Chicoutimi puis sont décédés,2021-05-05,27,https://ici.radio-canada.ca/nouvelle/1790723/covid-19-hopitaux-deces
Alma ,Santé publique,3,ICI.Radio-Canada.ca,Une vingtaine de cas et deux résidents hospitalisés au Manoir Champlain | Coronavirus,2021-05-28,4,https://ici.radio-canada.ca/nouvelle/1796921/eclosion-covid-manoir-champlain
Alma ,Santé publique,4,NecrologieCanada,BEAULIEU Germaine 1928 2021,2021-06-01,0,https://necrocanada.com/deces-2021/beaulieu-germaine-1928-2021/
Alma ,COVID,1,Le Quotidien - Groupe Capitales Médias,Cinq nouveaux cas et près de 200 000 doses administrées au Saguenay-Lac-Saint-Jean,2021-06-01,0,https://www.lequotidien.com/actualites/covid-19/cinq-nouveaux-cas-et-pres-de-200-000-doses-administrees-au-saguenay-lac-saint-jean-2db9e8cbe50c305d89ce3689dd59c097
Alma ,COVID,2,ICI.Radio-Canada.ca,Vaccin contre la COVID-19 : près de 4500 rendez-vous pris en quelques heures | Coronavirus,2021-03-02,91,https://ici.radio-canada.ca/nouvelle/1774546/campagne-vaccination-coronavirus-ciusss
Alma ,COVID,3,Le Devoir,Quoi retenir de la fin de semaine?,2021-05-02,30,https://www.ledevoir.com/societe/599951/pour-votre-info-quoi-retenir-de-la-fin-de-semaine
Alma ,COVID,4,ICI.Radio-Canada.ca,Le CIUSSS ferme l'unité COVID-19 de l'hôpital d'Alma | Coronavirus,2021-01-27,125,https://ici.radio-canada.ca/nouvelle/1766452/unite-covid-alma-fermeture-baisse
Alma ,Immigration,1,ICI.Radio-Canada.ca,Le Collège d'Alma s'apprête à accueillir une cohorte d'étudiants étrangers,2021-01-06,146,https://ici.radio-canada.ca/nouvelle/1761191/aide-arrivee-etudes-pandemie-quarantaine
Alma ,Immigration,2,La Presse,Pénurie de main-d'œuvre dans le secteur manufacturier | Des solutions à trouver d'urgence,2021-05-19,13,https://www.lapresse.ca/affaires/2021-05-19/penurie-de-main-d-oeuvre-dans-le-secteur-manufacturier/des-solutions-a-trouver-d-urgence.php
Alma ,Immigration,3,Le Devoir,Le désir inébranlable de soigner pour une immigrante mexicaine,2021-03-02,91,https://www.ledevoir.com/societe/596129/immigration-le-desir-inebranlable-de-soigner-pour-une-immigrante-mexicaine
Alma ,Immigration,4,ICI.Radio-Canada.ca,"Pandémie et démographie : moins d'immigrants et de naissances, plus de décès",2021-03-18,75,https://ici.radio-canada.ca/nouvelle/1778413/demographie-population-pandemie-immigration-naissances
Alma ,Climat,1,Mediapart,Climat: «Mobilisations larges et luttes locales sont indissociables»,2021-05-25,7,https://www.mediapart.fr/journal/france/250521/climat-mobilisations-larges-et-luttes-locales-sont-indissociables
Alma ,Climat,2,Arcinfo,"Grève pour l'avenir à Neuchâtel: «Si on veut créer un monde commun, il faut partager nos compétences»",2021-05-21,11,https://www.arcinfo.ch/dossiers/s-adapter-au-changement-climatique/articles/greve-pour-l-avenir-a-neuchatel-si-on-veut-creer-un-monde-commun-il-faut-partager-nos-competences-1075120
Alma ,Climat,3,Radio Classique,"Loi Climat : qu'est-ce que l'artificialisation des sols, qui doit être divisée par deux d'ici 2030 ?",2021-05-05,27,https://www.radioclassique.fr/magazine/articles/loi-climat-quest-ce-que-lartificialisation-des-sols-qui-doit-etre-divisee-par-deux-dici-2030/
Alma ,Climat,4,Europe 1,"Marche pour le climat : ""Toutes les grandes mesures sont absentes du texte de loi""",2021-05-09,23,https://www.europe1.fr/societe/marche-pour-le-climat-toutes-les-grandes-mesures-sont-absentes-du-texte-de-loi-4044027
Alma ,Racisme,1,Libération,"Appel pour les libertés, contre les idées d’extrême droite",2021-05-04,28,https://www.liberation.fr/idees-et-debats/tribunes/appel-pour-les-libertes-contre-les-idees-dextreme-droite-20210504_XRVRUYXD5RDGPG6YY2TWUV6MQY/
Alma ,Racisme,2,ICI.Radio-Canada.ca,Racisme dans la police : les cégeps défendent la qualité de leur formation,2020-10-17,227,https://ici.radio-canada.ca/nouvelle/1741800/racisme-police-formation-cegeps-techniques-policieres-quebec
Alma ,Racisme,3,udemnouvelles,"Christiane-Marie Edom, une Française noire à Alma",2021-04-30,32,https://nouvelles.umontreal.ca/article/2021/04/30/christiane-marie-edom-une-francaise-noire-a-alma/
Alma ,Racisme,4,Le Quotidien - Groupe Capitales Médias,Sesame Street lance de nouvelles vidéos éducatives sur le racisme,2021-03-25,68,https://www.lequotidien.com/arts/sesame-street-lance-de-nouvelles-videos-educatives-sur-le-racisme-8f585b225190617f8fcb9d562ed64b62
Alma ,Premier ministre,1,Radio-Canada.ca,Comme Churchill en 1945?,2021-05-03,29,https://ici.radio-canada.ca/nouvelle/1789774/auger-michelc-analyse-legault-crise-logement
Alma ,Premier ministre,2,ICI.Radio-Canada.ca,Le nouveau programme de pharmacie fait fureur au Collège d'Alma,2021-05-13,19,https://ici.radio-canada.ca/nouvelle/1792605/techniques-pharmacie-college-alma-demandes
